id,title,url,text,teacher,day,unit,content
10240095000,"○キリスト教精神史（１）
History of Christian Thought (1)",https://syllabus.doshisha.ac.jp/html/2024/0240/10240095000.html,"・古代から現代に至るキリスト教の思想史の基本的な知識を理解し，西洋思想の大きな流れの中でキリスト教がどのような役割を果たし，また思想家を通して影響を与えてきたかを学び，それらを通して現代に生きる私たちがキリスト教的な精神を通して自分の生き方や考え方を見直す視点を学びます。
・春学期は，聖書の世界，古代から中世，宗教改革の時代までを学びます。
・講義形式で行います。

・キーワード　　聖書　アウグスティヌス　中世　神秘思想　宗教改革　カトリック　プロテスタント",['森田\u3000美芽'],"(金曜日4講時)
面接/Face-to-face","10240095 
○キリスト教精神史（１）
History of Christian Thought (1)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
第1回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
オリエンテーション
キリスト教とは何か―導入・中村哲の生き方に学ぶ―
復習　テキスト・資料の復習（約60分）
第2週
第2回 面接/Face-to-face
90 分/min
キリスト教の基盤となったユダヤ教の世界観と影響
ーキリスト教に関する基本的な理解と聖書の解説ユダヤ世界とキリスト教―
予習　旧約聖書　創世記１－3章を読んでおく
復習　旧約聖書の該当箇所を復習
（各約60分）
第3週
第3回 面接/Face-to-face
90 分/min
イエス・ヨハネ・パウロ
新約聖書に現れる3者に見る初期キリスト教思想
予習　新約聖書のヨハネ福音書
復習　新約聖書のローマ書
（各約60分）
第4週
第4回 面接/Face-to-face
90 分/min
教父の時代
予習　テキストの該当箇所を読む
復習　テキスト。資料の復習
（各約60分）
第5週
第5回 面接/Face-to-face
90 分/min
アウグスティヌス（１）回心と「神の国」
予習　アウグスティヌスの生涯について調べる。
復習　テキスト・資料の復習
(各約60分）
第6週
第6回 面接/Face-to-face
90 分/min
アウグスティヌス（２）三大論争
予習　前回資料の確認
復習　テキスト・資料の復習
（各約60分）
第7週
第7回 面接/Face-to-face
90 分/min
中世キリスト教の思想（１）
トマス・アクィナス
予習　トマス・アクィナスの生涯について調べる。
復習　テキスト・資料の復習
（各約60分）
第8週
第8回 面接/Face-to-face
90 分/min
中世キリスト教の思想（２）
トマス・アクィナスと普遍論争
予習　テキストの該当箇所を読む
復習　テキスト・資料の復習
（各約60分）
第9週
第9回 面接/Face-to-face
90 分/min
中世キリスト教の思想（３）
女性神秘家たちの思想
予習　テキストの該当箇所を読む
復習　テキスト・資料の復習
（各約60分）
第10週
第10回 面接/Face-to-face
90 分/min
中世キリスト教の思想（４）
修道院運動とその思想
予習　テキストの該当箇所を読む
復習　テキスト・資料の復習
（各約60分）
第11週
第11回 面接/Face-to-face
90 分/min
東方教会の思想
予習　テキストの該当箇所を読む
復習　テキスト・資料の復習
（各約60分）
第12週
第12回 面接/Face-to-face
90 分/min
宗教改革の思想（１）
マルティン・ルター
予習　ルター「キリスト者の自由」前半
復習　「キリスト者の自由」後半
（各約60分）
第13週
第13回 面接/Face-to-face
90 分/min
宗教改革の思想（２）
ジャン・カルヴァン及び宗教改革運動の展開
予習　カルヴァンの生涯について調べる。
復習　テキスト・資料の復習
（各約60分）
第14週
第14回 面接/Face-to-face
90 分/min
近代思想との葛藤
―パスカル「パンセ」を読む－
予習　パスカル「パンセ」の第1章を読む
復習　テキスト・資料の復習
（各約60分）
授業期間終了後/After the Class Period
第15回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
古代から近代へ　キリスト教思想の展開とその意義について（春学期まとめ）
予習　春学期1～14回の資料を読み直す。
復習　春学期1～14回の内容のうち，特に関心をもった内容について深く調べる。
＜各約60分＞"
10240096000,"△キリスト教精神史（２）
History of Christian Thought (2)",https://syllabus.doshisha.ac.jp/html/2024/0240/10240096000.html,"春学期の「キリスト教精神史（１）」と連続して，古代から現代に至るキリスト教の思想史の基本的な知識を理解し，西洋思想の大きな流れの中でキリスト教がどのような役割を果たし，また思想家を通して影響を与えてきたかを学びます。秋学期では，特に現代という時代におけるキリスト教の影響や今後の展望を考え，現代に生きる私たち自身の生き方において学ぶべきことは何かを考えます。
秋学期では，近代から現代の日本におけるキリスト教の思想とその影響を，歴史や時代との関連で学びます。
・講義形式で行います。",['森田\u3000美芽'],"(金曜日4講時)
面接/Face-to-face","10240096 
△キリスト教精神史（２）
History of Christian Thought (2)
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
第1回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
近代思想とキリスト教
ロック・カント・ヘーゲルとキリスト教
予習　ロック「キリスト教と合理性」カント「宗教論」に目を通す。
復習　テキストと資料を読む
（各約60分）
第2週
第2回 面接/Face-to-face
90 分/min
神学か哲学か（１）
キェルケゴール①　「あれか-これか」　―哲学とキリスト教ー
予習　キェルケゴールの生涯について調べる
復習　本日のテキストと資料を読む（各約60分）
第3週
第3回 面接/Face-to-face
90 分/min
神学か哲学か（２）
キェルケゴール②　「実存の3領域」
予習　キェルケゴールの思想について調べる
復習　本日のテキスト・資料を読む（各約60分）
第4週
第4回 面接/Face-to-face
90 分/min
神学か哲学か（３）
キェルケゴール③　「不安と絶望－キリスト教の人間学―」
予習　前回の資料を再読する
復習　本日のテキスト・資料を読む（各約60分）
第5週
第5回 面接/Face-to-face
90 分/min
神学か哲学か（４）
キェルケゴール④「愛の業」－キリスト教的隣人愛とは
予習　前回の資料を再読する
復習　本日のテキスト・資料を読む（各約60分）
第6週
第6回 面接/Face-to-face
90 分/min
20世紀のキリスト教（１）
ボンヘッファー　神なき時代の預言者
予習　ボンヘッファーの生涯について調べる
復習　本日のテキスト・資料を読む（各約60分）
第7週
第7回 面接/Face-to-face
90 分/min
20世紀のキリスト教（２）
シモーヌ・ヴェイユ　真理を待ち望む
予習　シモーヌ・ヴェイユの生涯について調べる
復習　本日のテキスト・資料を読む（各約60分）
第8週
第8回 面接/Face-to-face
90 分/min
20世紀のキリスト教（３）
エーディト・シュタイン　哲学と神学を生きた女性
予習　エーディト・シュタインの生涯について調べる
復習　本日のテキスト・資料を読む（各約60分）
第9週
第9回 面接/Face-to-face
90 分/min
20世紀のキリスト教（４）
マーチン・ルーサー・キングとマザー・テレサ
予習　２者の生涯について調べる
復習　本日のテキスト・資料を読む（各約60分）
第10週
第10回 面接/Face-to-face
90 分/min
日本とキリスト教（１）
信仰と受難　キリシタン迫害と戦時中の迫害
予習　テキストの該当箇所を読む
復習　本日のテキスト・資料を読む（各約60分）
第11週
第11回 面接/Face-to-face
90 分/min
日本とキリスト教（２）
内村鑑三と無教会
予習　テキストの該当箇所を読む
復習　本日のテキスト・資料を読む（各約60分）
第12週
第12回 面接/Face-to-face
90 分/min
日本とキリスト教（３）
森有正と「経験」
予習　森有正の生涯について調べる
復習　本日のテキスト・資料を読む（各約60分）
第13週
第13回 面接/Face-to-face
90 分/min
キリスト教と現代（１）
キリスト教と女性
予習　テキスト・関連資料を読む
復習　本日のテキスト・資料を読む（各約60分）
第14週
第14回 面接/Face-to-face
90 分/min
キリスト教と現代（２）
キリスト教と社会・平和
予習　テキスト・関連資料を読む
復習　本日のテキスト・資料を読む（各約60分）
授業期間終了後/After the Class Period
第15回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
キリスト教と現代（３）
現代日本とキリスト教，これからの課題
予習　テキスト・関連資料を読む
復習　本日のテキスト・資料を読む（各約60分）"
10270032000,"日本史学史
Japanese Historiography",https://syllabus.doshisha.ac.jp/html/2024/0270/10270032000.html,,,,,
10270093000,"○日本思想史（１）(天皇観と天皇像)
Japanese Intellectual History (1)",https://syllabus.doshisha.ac.jp/html/2024/0270/10270093000.html,この授業を担当する講師が学部4回生の時に書こうとした卒論テーマは，当初，「江戸時代の民衆の天皇に対する意識調査」というものであった。タイムマシンは存在しないので，意識調査は残念ながら実行できず，学部生活は5年目に突入した。しかし，その時以来，江戸時代の市井に生きる人たちが，天皇のことをどのように認識していたのかということを，意識して研究を行ってきた。一方で，現在，近世史研究の分野において，書物文化研究が盛んに行われている。文化史をマニアックな趣味人が行う研究に留めるのではなく，江戸時代という，一つの政治体制が260年続いた，日本史上においても稀有な時代がなぜ存続したのか，この時代に隆盛した書物文化から読み解こうとする研究である。本講義では，江戸時代の書物文化を主に取り扱いながら，書物を通じて，天皇や朝廷に関するどのような知識が社会に広まり，常識として定着していったのかをみていくことで，講師自身が立てた問いに答えていきたい。,['鍛治\u3000宏介'],"(金曜日5講時)
面接/Face-to-face","10270093 
○日本思想史（１） (天皇観と天皇像)
Japanese Intellectual History (1)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
第１回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
ガイダンス
シラバスを熟読すること
第2週
第２回 面接/Face-to-face
90 分/min
江戸時代の天皇認識に関する先行研究を読み解く
御所について調べてくる
第3週
第３回 面接/Face-to-face
90 分/min
江戸時代の天皇陵と周辺住民
天皇陵について調べてくる
第4週
第４回 面接/Face-to-face
90 分/min
江戸時代の官位と年齢詐称
官位について調べてくる
第5週
第５回 面接/Face-to-face
90 分/min
江戸時代の発展と文字の力
寺子屋について調べてくる
第6週
第６回 面接/Face-to-face
90 分/min
江戸時代の識字率は世界一ィィィィイイイイ！？
識字率について調べてくる
第7週
第７回 面接/Face-to-face
90 分/min
本と錦絵の作り方
浮世絵について調べてくる
第8週
第８回 面接/Face-to-face
90 分/min
判じ絵を読み解く
判じ絵について調べてくる
第9週
第９回 面接/Face-to-face
90 分/min
日用教養書と江戸時代の常識
往来物について調べてくる
第10週
第10回 面接/Face-to-face
90 分/min
七夕文化の広がりと手習い教育
七夕について調べてくる
第11週
第11回 面接/Face-to-face
90 分/min
近江八景と書物文化
近江八景について調べてくる
第12週
第12回 面接/Face-to-face
90 分/min
江戸文学としての源氏物語
源氏物語について調べてくる
第13週
第13回 面接/Face-to-face
90 分/min
江戸時代の京都イメージの伝播と受容
曲水の宴について調べてくる
第14週
第14回 面接/Face-to-face
90 分/min
江戸時代の通り名歌の歴史
丸竹夷の歌について調べてくる
授業期間終了後/After the Class Period
第15回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
江戸時代の天皇像
14回分のノートとレジュメを読み返しておく"
10270094000,"△日本思想史（２）(生命へのまなざしと遊所の女性)
Japanese Intellectual History (2)",https://syllabus.doshisha.ac.jp/html/2024/0270/10270094000.html,一般に思想史というと，荻生徂徠や本居宣長，福沢諭吉など，数多くの著作を残した偉大な思想家たちの思想を，残された著作を読み解き明らかにすることで行われることが多い。しかし，この講義では，そのような頂点思想家ではなく，市政に生きた人々が，何を思い，何を考え，生きてきたか，残された史料から，その歴史を探りながら，その方法論も模索していきたい。今学期は，特に，病や生命についての人々の観念の変遷，さらには，女性が何を考え，どのように生きてきたか，特に近世京都の遊所祇園に生きた芸者と遊女たちを素材に考えてみる。,['鍛治\u3000宏介'],"(金曜日5講時)
面接/Face-to-face","10270094 
△日本思想史（２） (生命へのまなざしと遊所の女性)
Japanese Intellectual History (2)
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
第１回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
ガイダンス
シラバスを熟読する
第2週
第２回 面接/Face-to-face
90 分/min
平安京の捨て子と生類憐みの令
平安京について調べてくる
第3週
第３回 面接/Face-to-face
90 分/min
江戸時代の学びと就職
寺子屋について調べてくる
第4週
第４回 面接/Face-to-face
90 分/min
流行病と領主の対応
疱瘡について調べてくる
第5週
第５回 面接/Face-to-face
90 分/min
おまじないの歴史
まじないについて調べてくる
第6週
第６回 面接/Face-to-face
90 分/min
神の詫び状
陰陽道について調べてくる
第7週
第７回 面接/Face-to-face
90 分/min
流行病と子供へのまなざし
滝沢馬琴と小林一茶について調べてくる
第8週
第８回 面接/Face-to-face
90 分/min
おっぱいの歴史
そろそろレポートについて考える
第9週
第９回 面接/Face-to-face
90 分/min
遊女へのまなざし
遊女について調べてくる
第10週
第10回 面接/Face-to-face
90 分/min
一生不通養子娘証文と遊女と芸者の境界線
養子について調べてくる
第11週
第11回 面接/Face-to-face
90 分/min
祇園をめぐる政策の変遷
京都町奉行について調べてくる
第12週
第12回 面接/Face-to-face
90 分/min
祇園を生きる女性のライフコース
芸者について調べてくる
第13週
第13回 面接/Face-to-face
90 分/min
遊女屋の名簿
遊女屋について調べてくる
第14週
第14回 面接/Face-to-face
90 分/min
出版物から読み解く芸者と遊女
洒落本について調べてくる
授業期間終了後/After the Class Period
第15回 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
生命へのまなざしと遊所の女性
14回分のノートとレジュメを読み返しておく"
10270095000,"○日本社会史（１）
Japanese Social History (1)",https://syllabus.doshisha.ac.jp/html/2024/0270/10270095000.html,社会史は，総合性・多様性を有する歴史学の一方法である。本講義では，社会史の意義とその方法論的可能性を多角的に探ってみたい。,['小林\u3000丈広'],"(月曜日4講時)
面接/Face-to-face","10270095 
○日本社会史（１）
Japanese Social History (1)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
1
オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
歴史学における社会史の立場
講義の概要。受講の心構えについて。
第2週
2
面接/Face-to-face
90 分/min
春学期講義の概要と進め方
西岡直樹『""<""日常"">""のなかの近世』を参照する
第3週
3

面接/Face-to-face
90 分/min
京都の町の調査から
秋山国三『公同沿革史』，京都市歴史資料館編『京都町式目集成』などを参照する
第4週
4
面接/Face-to-face
90 分/min
公衆衛生研究と都市下層社会の視点
『都市下層の社会史』などを参照する
第5週
5
面接/Face-to-face
90 分/min
行政文書とアーカイブの現在
『近代自治の源流』などを参照する
第6週
6
面接/Face-to-face
90 分/min
塵海研究会の経験から
塵海研究会編『北垣国道日記「塵海」』を参照する
第7週
7
面接/Face-to-face
90 分/min
湯本文彦が生涯
『京都における歴史学の誕生』を参照する
第8週
8
面接/Face-to-face
90 分/min
戦後歴史学と社会史の歩み
『京都における歴史学の誕生』を参照する
第9週
9
面接/Face-to-face
90 分/min
地域史と社会史について考える
『京都における歴史学の誕生』を参照する
第10週
10
面接/Face-to-face
90 分/min
歴史の現場を歩くこと
『京都府の歴史散歩』『京都の歴史を歩く』などを参照する
第11週
11 面接/Face-to-face
90 分/min
フィールドワークを計画する
受講生の希望を聞いて計画を立てる，なお実際のフィールドワークは土日などに行ったり，終日あるいは半日かかることもあるので，参加については希望者のみにすることもある
第12週
12
面接/Face-to-face
90 分/min
思想史と社会史について
明治維新史学会編『明治維新と思想・社会』を参照する
第13週
13
面接/Face-to-face
90 分/min
史料輪読の意義
配付資料などを予習・復習でよく読み込む
第14週
14
面接/Face-to-face
90 分/min
多面的評価を行う
配付資料の理解を深める
授業期間終了後/After the Class Period
15
オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
春学期のまとめと秋学期のガイダンス
参考文献などを再読する"
10270096000,"△日本社会史（２）
Japanese Social History (2)",https://syllabus.doshisha.ac.jp/html/2024/0270/10270096000.html,社会史のケーススタディとして近世から近代にかけての歩みについて，専門的な内容を詳しく講義する。,['小林\u3000丈広'],"(月曜日4講時)
面接/Face-to-face","10270096 
△日本社会史（２）
Japanese Social History (2)
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
1 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
秋学期のガイダンスと講義のねらいを説明する
春学期の資料などを復習しておく
第2週
2 面接/Face-to-face
90 分/min
近世の町人社会について
資料を配付するのでよく復習する
第3週
3 面接/Face-to-face
90 分/min
享保の飢饉を通して近世社会の特徴を考える
特徴的な史料を配布するので，よく復習する
第4週
4 面接/Face-to-face
90 分/min
天明期までの社会の特徴を考える
特徴的な史料を配布するので，よく復習する
第5週
5 面接/Face-to-face
90 分/min
天保の飢饉を通して近世後期の社会を考える
特徴的な史料を配布するので，よく復習する
第6週
6 面接/Face-to-face
90 分/min
猪飼敬所などの思想を通して近世社会を考える
特徴的な史料を配布するので，よく復習する
第7週
7 面接/Face-to-face
90 分/min
嘉永の飢饉を通して幕末の社会を考える
特徴的な史料を配布するので，よく復習する
第8週
8 面接/Face-to-face
90 分/min
慶応の飢饉を通して幕末維新期の社会を考える
特徴的な史料を配布するので，よく復習する
第9週
9 面接/Face-to-face
90 分/min
『仁風集覧』を読む
配布資料を読んで理解を深める
第10週
10 面接/Face-to-face
90 分/min
明治維新期の社会の特徴を考える
特徴的な史料を配布するので，よく復習する
第11週
11 面接/Face-to-face
90 分/min
近代社会と政治や文化と関係を多角的に考える
特徴的な史料を配布するので，よく復習する
第12週
12 面接/Face-to-face
90 分/min
博覧会などを通じて近代社会を考える
特徴的な史料を配布するので，よく復習する
第13週
13 面接/Face-to-face
90 分/min
大規模イベントなど近代社会に特有の事象を考える視点を提示する
特徴的な史料を配布するので，よく復習する
第14週
14 面接/Face-to-face
90 分/min
多面的評価を行う（小テストを含む）
配付資料の理解を深める
授業期間終了後/After the Class Period
15 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
秋学期及び一年間を通してのまとめを行う
配付資料の理解を深める"
10270097000,"○考古学概論（１）
Introduction to Archaeology (1)",https://syllabus.doshisha.ac.jp/html/2024/0270/10270097000.html,"本授業では，考古学研究の原則が「時間軸に則った遺物や遺構の分析」であることを随時確認しながら，①遺跡・遺構・遺物の分析方法，②研究史分析の重要性，③考古学を通じた歴史叙述の方法，という3つの観点から，考古学研究の在り方と現代社会におけるその意義や必要性について追究する。対象とする時代は，旧石器時代から弥生時代までである。また，国内で年間約8000件も行われている発掘調査（行政目的による埋蔵文化財発掘調査）の実態と考古学との関係性についても確認する。なお，担当者は文化庁記念物課，九州国立博物館，福岡県教育委員会において，文化財保護及び博物館展示の実務経験があり，その経験を活かした解説を行う。
また，毎回の講義では，その時々の新聞報道などで話題になっている発掘調査成果や考古学関連出版物の解説を行い，我々の生活と考古学との関係性について実感できるようする。
キーワード ：遺物・遺構・遺跡，研究史，時間軸，埋蔵文化財",['水ノ江\u3000和同'],"(木曜日3講時)
面接/Face-to-face","10270097 
○考古学概論（１）
Introduction to Archaeology (1)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
1 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
「考古学概論」という授業の理念と進め方
参考図書の閲読
第2週
2 面接/Face-to-face
90 分/min
考古学に関する基礎的知識の習得（1）
参考図書の閲読
第3週
3 面接/Face-to-face
90 分/min
考古学に関する基礎的知識の習得（2）
参考図書の閲読
第4週
4 面接/Face-to-face
90 分/min
考古学に関する基礎的知識の習得（3）
参考図書の閲読
第5週
5 面接/Face-to-face
90 分/min
考古学とはなにか（ガイダンス）
参考図書の閲読
第6週
6 面接/Face-to-face
90 分/min
考古学の歴史（1）
参考図書の閲読
第7週
7 面接/Face-to-face
90 分/min
考古学の歴史（2）
参考図書の閲読
第8週
8 面接/Face-to-face
90 分/min
考古学と発掘調査
参考図書の閲読
第9週
9 面接/Face-to-face
90 分/min
考古学の理論と方法（1）−型式学−
参考図書の閲読
第10週
10 面接/Face-to-face
90 分/min
考古学の理論と方法（2）−層位学−
参考図書の閲読
第11週
11 面接/Face-to-face
90 分/min
考古学の理論と方法（3）−自然科学分析−
参考図書の閲読
第12週
12 面接/Face-to-face
90 分/min
旧石器時代の考古学　−旧石器時代研究の歴史−
参考図書の閲読
第13週
13 面接/Face-to-face
90 分/min
縄文時代の考古学（1）−縄文文化論−
参考図書の閲読
第14週
14 面接/Face-to-face
90 分/min
縄文時代の考古学（2）−縄文時代のはじまり−
参考図書の閲読
授業期間終了後/After the Class Period
15 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
14回の授業をまとめる
参考図書の閲読"
10270098000,"△考古学概論（２）
Introduction to Archaeology (2)",https://syllabus.doshisha.ac.jp/html/2024/0270/10270098000.html,"本授業では，考古学研究の原則が「時間軸に則った遺物や遺構の分析」であることを随時確認しながら，①遺跡・遺構・遺物の分析方法，②研究史分析の重要性，③考古学を通じた歴史叙述の方法，という3つの観点から，考古学研究の在り方と現代社会におけるその意義や必要性について追究する。対象とする時代は，弥生時代から現代までである。また，国内で年間約8，000件も行われている発掘調査（行政目的による埋蔵文化財発掘調査）の実態と考古学との関係性についても確認する。なお，担当者は文化庁記念物課，九州国立博物館，福岡県教育委員会において，文化財保護及び博物館展示の実務経験があり，その経験を活かした解説を行う。
また，毎回の講義では，その時々の新聞報道などで話題になっている発掘調査成果や考古学関連出版物の解説を行い，我々の生活と考古学との関係性について実感できるよう心がける。
本授業は考古学概論（２）であるが，考古学概論（１）と併せて構成されており，両授業を通年受講することで考古学研究の全体像が把握できる構成になっている。
キーワード ：遺物・遺構・遺跡，研究史，時間軸，埋蔵文化財",['水ノ江\u3000和同'],"(木曜日3講時)
面接/Face-to-face","10270098 
△考古学概論（２）
Introduction to Archaeology (2)
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
1 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
「考古学概論」という授業の理念と進め方，および弥生時代の考古学（1）−弥生時代研究の歴史−
参考図書の閲読
第2週
2 面接/Face-to-face
90 分/min
弥生時代の考古学（1）−金印と邪馬台国−
参考図書の閲読
第3週
3 面接/Face-to-face
90 分/min
弥生時代の考古学（2）−弥生時代のはじまり−
参考図書の閲読
第4週
4 面接/Face-to-face
90 分/min
弥生時代の考古学（3）−弥生王の登場−
参考図書の閲読
第5週
5 面接/Face-to-face
90 分/min
古墳時代の考古学（1）−古墳時代研究の歴史−
参考図書の閲読
第6週
6 面接/Face-to-face
90 分/min
古墳時代の考古学（2）−古墳時代のはじまり−
参考図書の閲読
第7週
7 面接/Face-to-face
90 分/min
古墳時代の考古学（3）−装飾古墳−
参考図書の閲読
第8週
8 面接/Face-to-face
90 分/min
古代の考古学
参考図書の閲読
第9週
9 面接/Face-to-face
90 分/min
中近世及び近代の考古学
参考図書の閲読
第10週
10 面接/Face-to-face
90 分/min
水中考古学
参考図書の閲読
第11週
11 面接/Face-to-face
90 分/min
考古学と震災対応
参考図書の閲読
第12週
12 面接/Face-to-face
90 分/min
考古学と世界文化遺産
参考図書の閲読
第13週
13 面接/Face-to-face
90 分/min
埋蔵文化財保護の歴史
参考図書の閲読
第14週
14 面接/Face-to-face
90 分/min
考古学と博物館
参考図書の閲読
授業期間終了後/After the Class Period
15 オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
考古学と現代社会
参考図書の閲読"
10270099000,"○民俗学（１）
Folklore (1)",https://syllabus.doshisha.ac.jp/html/2024/0270/10270099000.html,民俗とは民衆の生活文化を意味している。それらをフィールドワークによって調べ，さらに多様な方法を用いて民俗に意味や解釈を与えていく営みが民俗学である。民俗学では多様な領域を対象とするが，民俗学（１）においては，民俗学の基礎概念を最初に講義し，ついで信仰や儀礼に関する民俗について個別に講義することとしたい。民俗はわれわれの生活そのものであるが，少し以前の生活文化を調べることによって，現在の生活を相対化することになる。またレスポンスカードを通じたコミュニケーションもおこなうので，受講生には積極的な授業への参加を望みたい。,['市川\u3000秀之'],"(木曜日1講時)
面接/Face-to-face","10270099 
○民俗学（１）
Folklore (1)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture","実施時期
/Week 授業回/Number of Lesson 授業実施方法
/How to conduct a Lesson 授業実施時間数
/Class Hours
内容/Contents
授業時間外の学習/Assignments
第１週　DO Week
１ オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
民俗学の授業の進め方
レジュメ，ノートによる復習
第2週
２ 面接/Face-to-face
90 分/min
民俗とは
レジュメ・ノート・レスポンスカードによる復習
第3週
３ 面接/Face-to-face
90 分/min
年中行事
レジュメ・ノート・レスポンスカードによる復習
第4週
４ 面接/Face-to-face
90 分/min
民間信仰
レジュメ・ノート・レスポンスカードによる復習
第5週
５ 面接/Face-to-face
90 分/min
境界の祭祀
レジュメ・ノート・レスポンスカードによる復習
第6週
６ 面接/Face-to-face
90 分/min
宮座
レジュメ・ノート・レスポンスカードによる復習
第7週
７ 面接/Face-to-face
90 分/min
都市祭礼
レジュメ・ノート・レスポンスカードによる復習
第8週
８ 面接/Face-to-face
90 分/min
婚姻
レジュメ・ノート・レスポンスカードによる復習
第9週
９ 面接/Face-to-face
90 分/min
出産
レジュメ・ノート・レスポンスカードによる復習
第10週
１０ 面接/Face-to-face
90 分/min
墓制
レジュメ・ノート・レスポンスカードによる復習
第11週
１１ 面接/Face-to-face
90 分/min
墓の歴史
レジュメ・ノート・レスポンスカードによる復習・レポートの提出
第12週
１２ 面接/Face-to-face
90 分/min
比較民俗学
レジュメ・ノート・レスポンスカードによる復習
第13週
１３ 面接/Face-to-face
90 分/min
口承伝承
レジュメ・ノート・レスポンスカードによる復習
第14週
１４ 面接/Face-to-face
90 分/min
都市・現代の民俗学
レジュメ・ノート・レスポンスカードによる復習
授業期間終了後/After the Class Period
１５ オンデマンド（動画視聴）/On-demand(watching video)
90 分/min
まとめ・ふりかえり
レジュメ・ノート・レスポンスカードによる復習"
