id,title,url,text,teacher,day,unit,summary_texts
10260200000,"△漢文講読（１）〔美〕
Readings in Classical Chinese (1)",https://syllabus.doshisha.ac.jp/html/2024/0260/10260200000.html,"中国絵画に関する文献を精読することによって，漢文資料の読解力を養うと共に，中国絵画への理解を深めることを目的とします。

授業では，『宣和画譜』（北宋末期のおける徽宗朝の内府所蔵絵画目録）をテキストとします。
『宣和画譜』は三国時代より北宋に至る画家231人，作品6396点を人物，山水，花鳥などの10部門に分類して時代順に著録し，各部門ごとに叙と画家の小伝を付す構成となっていますが，先行する画史類に依拠しながら，新たな解釈や情報が付加されており，北宋までの絵画史の様相が網羅的に提示された文献資料と言えるでしょう。それゆえ本書を精読することによって，北宋までの画家の人物像，作画状況，絵画理念，作品批評などを把握することができます。

授業は，受講生全員が事前にテキストに従って訓読文，現代語訳，訳注などを記したノートを作成し，順次担当者が発表する形式で進めていきます。",['古田\u3000真一'],"(金曜日4講時)
面接/Face-to-face","10260200 
△漢文講読（１）〔美〕
Readings in Classical Chinese (1)
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture",この講義では、中国絵画に関する文献『宣和画譜』を精読し、漢文資料の読解力を養いながら中国絵画への理解を深めます。『宣和画譜』は北宋末期の徽宗朝の内府所蔵絵画目録で、三国時代から北宋に至る画家231人と作品6396点を人物、山水、花鳥など10部門に分類し、時代順に記録しています。これにより、北宋までの画家の人物像、作画状況、絵画理念、作品批評などを網羅的に学ぶことができます。
10260201000,"○漢文講読（２）〔美〕
Readings in Classical Chinese (2)",https://syllabus.doshisha.ac.jp/html/2024/0260/10260201000.html,美術史に関する漢文資料の読解力を身につけることを目的として，中国の絵画関係文献を取り上げ，会読する。受講生は，指定箇所を調べ，訓読・口語訳した資料を作成し，毎回授業で訓読する。まず漢文の基礎を復習し，絵画関係文献を読むための工具書として訓点付きの『四庫提要』を，さらに白文の余紹宋『書画書録解題』を読む。標準的な漢文に慣れ，合わせて書誌学・文献学の基礎知識も習得する。（2）では『唐朝名画録』解題を中心として会読し，原田尾山『中国画学書解題』等も参考にする。,['河野\u3000道房'],"(金曜日2講時)
面接/Face-to-face","10260201 
○漢文講読（２）〔美〕
Readings in Classical Chinese (2)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture",この講義では、中国の絵画に関する漢文資料を読解する力を養います。具体的には、『四庫提要』や余紹宋の『書画書録解題』を訓読し、標準的な漢文に慣れることを目指します。また、『唐朝名画録』や原田尾山の『中国画学書解題』も取り上げ、書誌学や文献学の基礎知識も学びます。これにより、中国美術史に関する深い理解と漢文読解力を身につけることができます。
10280189000,"○日本語文法（１）
Japanese Grammar (1)",https://syllabus.doshisha.ac.jp/html/2024/0280/10280189000.html,この科目は，日本語の文法すなわちセンテンスを組み立てるしくみについてさまざまな観点から観察し，分析していくために必要な知識・能力を身につけることを目的とする。春学期は，「動詞の文法」を主たるテーマとする。,['大島\u3000中正'],"(木曜日3講時)
面接/Face-to-face","10280189 
○日本語文法（１）
Japanese Grammar (1)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture",この講義では、日本語の文法、特に「動詞の文法」を中心に学びます。春学期を通じて、動詞の活用形や文中での役割、意味の変化などを詳細に観察・分析します。これにより、日本語のセンテンス構造を理解し、正確な文法知識を身につけることができます。
10280190000,"△日本語文法（２）
Japanese Grammar (2)",https://syllabus.doshisha.ac.jp/html/2024/0280/10280190000.html,この科目は，日本語の文法すなわちセンテンスを組み立てるしくみについてさまざまな観点から観察し，分析していくために必要な知識・能力を身につけることを目的とする。秋学期は「文のタイプ」を主たるテーマとする。,['大島\u3000中正'],"(木曜日3講時)
面接/Face-to-face","10280190 
△日本語文法（２）
Japanese Grammar (2)
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture",この講義では、日本語の文法、特にセンテンスの組み立て方について学びます。秋学期の主なテーマは「文のタイプ」であり、さまざまな文の構造やその機能を観察・分析します。具体的には、疑問文、命令文、感嘆文などの異なる文の形式や、それぞれの文がどのように意味を伝えるかについて深く理解することを目指します。これにより、日本語の文法体系の理解を深め、言語の構造に対する洞察力を養います。
10280191001,"○漢文（１）-1
Readings in Classical Chinese (1)-1",https://syllabus.doshisha.ac.jp/html/2024/0280/10280191001.html,"晋の陳寿の著した『三国志』を読みながら，漢文読解に必要な基本的事項を学習する。今学期は，魏の武帝・曹操に関する記述を取り上げて講義する。テキストはプリントを配布する。漢文の語法や漢字の意義について，できるだけ詳しく解説する予定である。
なお，漢和辞典としては，小川環樹他編『新字源』（角川書店）をあげておく。",['藤井\u3000京美'],"(木曜日5講時)
面接/Face-to-face","10280191-001 
○漢文（１）－1
Readings in Classical Chinese (1)－1
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture",この講義では、晋の陳寿が著した『三国志』を題材に、特に魏の武帝・曹操に関する記述を中心に学びます。漢文読解に必要な基本的事項を学習し、漢文の語法や漢字の意義について詳しく解説します。テキストはプリントで配布され、小川環樹他編『新字源』を参考にします。
10280191002,"○漢文（１）-2
Readings in Classical Chinese (1)-2",https://syllabus.doshisha.ac.jp/html/2024/0280/10280191002.html,"本授業では，中国および日本の漢文資料の読解の仕方を学ぶ。漢文訓読の基礎的知識はもとより，担当者の専門である日本語学的な観点から漢文の言語的知識，漢詩などのレトリック,日本における漢文の受容・作成の知識をふまえ，説話や古記録などの日本漢文，近世・近代の漢文，和刻本，ヲコト点などによる各種資料の読解を行う。
毎時，課題を課す（翌日１２時提出締め切り）",['藤井\u3000俊博'],"(月曜日2講時)
面接/Face-to-face","10280191-002 
○漢文（１）－2
Readings in Classical Chinese (1)－2
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture",この講義では、中国および日本の漢文資料の読解方法を学びます。漢文訓読の基礎知識、日本語学的観点からの言語的知識、漢詩のレトリック、日本における漢文の受容と作成について学びます。さらに、説話や古記録、近世・近代の漢文、和刻本、ヲコト点などの資料を用いて実際の読解を行います。
10280192001,"△漢文（２）-1
Readings in Classical Chinese (2)-1",https://syllabus.doshisha.ac.jp/html/2024/0280/10280192001.html,"第１回～第８回は，晋の陳寿の著した『三国志』を読みながら，漢文読解に必要な基本的事項を学習する。今学期は，諸葛亮（孔明）伝を取り上げて講義する。テキストはプリントを配布する。漢文の語法や漢字の意義について，できるだけ詳しく解説する予定である。第９回以降は，詩について講義する。唐代に成立した近体詩を中心に概説する予定である。
なお，漢和辞典としては，小川環樹他編『新字源』（角川書店）をあげておく。",['藤井\u3000京美'],"(木曜日5講時)
面接/Face-to-face","10280192-001 
△漢文（２）－1
Readings in Classical Chinese (2)－1
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture",この講義では、まず晋の陳寿が著した『三国志』の中から諸葛亮（孔明）伝を読み、漢文読解の基本を学びます。漢文の語法や漢字の意義について詳しく解説されるため、漢文の基礎力を養うことができます。後半では、唐代に成立した近体詩を中心に詩の講義が行われ、詩の形式や内容についての理解を深めることができます。これにより、古典文学の重要な作品とその背景についての知識を得ることができます。
10280192002,"△漢文（２）-2
Readings in Classical Chinese (2)-2",https://syllabus.doshisha.ac.jp/html/2024/0280/10280192002.html,唐詩を中心に，漢詩の鑑賞や読解を行い，漢文に関する基礎的な知識と鑑賞眼を養う。唐代は漢詩の最盛期と言われるが，唐詩に限らず，その前後の時代の詩もあわせて取り上げることで，巨視的な視野で唐詩を捉えられるようにする。また，日本漢詩を取り上げるなど，日本文学への影響関係についても考えていきたい。なお，授業においては漢詩を学ぶ上での基礎的な知識や工具書などについての解説も行う。,['柳川\u3000響'],"(火曜日5講時)
面接/Face-to-face","10280192-002 
△漢文（２）－2
Readings in Classical Chinese (2)－2
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture",この講義では、唐詩を中心に漢詩の鑑賞や読解を行い、漢文に関する基礎的な知識と鑑賞眼を養います。唐代の詩を最盛期とし、その前後の時代の詩も取り上げることで、広い視野で唐詩を理解します。また、日本漢詩を通じて日本文学への影響関係も考察します。授業では漢詩を学ぶための基礎知識や参考書についても解説します。
10280273000,"○漢文学概論（１）
Introduction to Classical Chinese Literature (1)",https://syllabus.doshisha.ac.jp/html/2024/0280/10280273000.html,この講義では，「漢文学」を構成する最重要要素である「漢字」そのものについて話します。大まかに言うと，高校までの国語教育で忘れられがちな漢字や漢語・漢文に関する基礎知識を語る講義です。後漢という時代に書かれた『説文解字』という専門的な書物を中心として，大学生として知っていて欲しい，文字資料としての漢字の歴史やその成り立ちについて話します。時間的に余裕があれば，日本語としての漢字に関する知識や，漢語・漢文の構造に関する基礎知識も話してみたいと思ってます。,['菅本\u3000大二'],"(木曜日2講時)
面接/Face-to-face","10280273 
○漢文学概論（１）
Introduction to Classical Chinese Literature (1)
2単位/Unit  春学期/Spring  今出川/Imadegawa  講義/Lecture",この講義では、漢文学の最重要要素である「漢字」について学びます。特に後漢時代に書かれた『説文解字』を中心に、漢字の歴史や成り立ちを詳しく解説します。高校までの国語教育で触れられなかった漢字や漢語・漢文に関する基礎知識もカバーし、日本語としての漢字や漢語・漢文の構造についても学びます。
10280274000,"△漢文学概論（２）
Introduction to Classical Chinese Literature (2)",https://syllabus.doshisha.ac.jp/html/2024/0280/10280274000.html,"「漢文学」は，「漢文」の「学」，つまり漢文資料を取り扱う学問の総称です。この学問は伝統的に文学・史学・哲学のジャンルで構成されているため，たとえば高校漢文教材も，李白や杜甫などの唐詩を中心とする文学教材，司馬遷の『史記』を中心とする史学教材，孔子の『論語』を中心とする哲学教材の三つで構成されています。

本年度の秋学期は，その中の史学ジャンルについて，『史記』を中心とする歴史書に関する概説を語ります。現代の日本人にわかりやすい話題を交えながら進めていくつもりです。",['菅本\u3000大二'],"(木曜日2講時)
面接/Face-to-face","10280274 
△漢文学概論（２）
Introduction to Classical Chinese Literature (2)
2単位/Unit  秋学期/Fall  今出川/Imadegawa  講義/Lecture",この講義では、漢文学の史学ジャンルに焦点を当て、特に司馬遷の『史記』を中心に学びます。『史記』は中国古代の歴史書であり、歴史的事件や人物についての記述が豊富です。講義では、現代の日本人にわかりやすい話題を交えながら、『史記』の内容やその背景、影響について詳しく解説します。これにより、中国古代の歴史や文化、思想を深く理解することができます。
